file_name,conditioning_image,caption
salma-hayek-harvey-weinstein-monster1.png,salma-hayek-harvey-weinstein-monster1_dwt2_thr.png,a picture of a man and a woman
SC202216_4x3.png,SC202216_4x3_dwt2_thr.png,a picture of a tree with pink flowers
royal-kahala-tropic-coffee-table-1.png,royal-kahala-tropic-coffee-table-1_dwt2_thr.png,a picture of a living room with a couch and a coffee table
Stars-and-Stripes-06-Insta-size-1024x1024.png,Stars-and-Stripes-06-Insta-size-1024x1024_dwt2_thr.png,a picture of a quilted chair with a pot of flowers and a pot of flowers on it
_7658764.png,_7658764_dwt2_thr.png,a picture of a red leather briefcase
ted-baker-Navy-Knit-Woven-Jumpsuit.png,ted-baker-Navy-Knit-Woven-Jumpsuit_dwt2_thr.png,a picture of a woman wearing a black top and wide trousers
AfterlightImage_308_1024x.png,AfterlightImage_308_1024x_dwt2_thr.png,a picture of a woman wearing a blanket
six-antique-drinking-glasses_10466_main_size3.png,six-antique-drinking-glasses_10466_main_size3_dwt2_thr.png,a picture of four glasses
564682_soweto_gospel_choir_internationales_chorfestival_statdthalle_graz_voices_of_spirit_eroeffnung_festivals_2016_150.png,564682_soweto_gospel_choir_internationales_chorfestival_statdthalle_graz_voices_of_spirit_eroeffnung_festivals_2016_150_dwt2_thr.png,a picture of a group of people standing in a line
85913710-9ff2-11ea-bf7d-53e11d97e25a.png,85913710-9ff2-11ea-bf7d-53e11d97e25a_dwt2_thr.png,a picture of a man getting his teeth checked
DW005PENTIN_LIFESTYLE_1024x1024.png,DW005PENTIN_LIFESTYLE_1024x1024_dwt2_thr.png,a picture of a person with a pencil and a cell phone
32147912_m.png,32147912_m_dwt2_thr.png,a picture of a person drawing a family under an umbrella
Dickiespants_2000x.png,Dickiespants_2000x_dwt2_thr.png,a picture of a man wearing white pants
rcp-20180202-feature.png,rcp-20180202-feature_dwt2_thr.png,a picture of cookies and a cookie cookie
ac3ecd1c6a3f407f726d25e5ef96f3ae.png,ac3ecd1c6a3f407f726d25e5ef96f3ae_dwt2_thr.png,a picture of a kid's room with a bunk bed
537b75c0c07a80d8590000b3_shard-wins-emporis-skyscraper-award_4_cayan_tower__copyright_tim_griffith_som_a.png,537b75c0c07a80d8590000b3_shard-wins-emporis-skyscraper-award_4_cayan_tower__copyright_tim_griffith_som_a_dwt2_thr.png,a picture of a city with boats in the water
